parent_code(父级物料编码);code(物料编码);relationship(父子级物料之间的关系);name(物料名称);type(物料类型);quantity(物料数量);relationshipProperties(关系扩展属性);properties(节点扩展属性)
null;WSD001;null;温湿度监测器;成品（产品）;1;{};{}
WSD001;WSD002;装配;外壳;半成品（中间产品）;1;{};{}
WSD002;CL001;组装;塑料外壳;零部件（原材料）;1;{};{}
WSD002;CL002;组装;螺丝;零部件（原材料）;15;{};{}
WSD001;WSD003;装配;主板;半成品（中间产品）;1;{};{}
WSD003;TY001;组装;MCU（微控制器单元）;零部件（原材料）;1;{};{}
WSD003;WSD007;组装;传感器电路板;半成品（中间产品）;1;{};{}
WSD007;TY002;组装;温度传感器;零部件（原材料）;1;{};{}
WSD007;TY003;组装;湿度传感器;零部件（原材料）;1;{};{}
WSD007;TY004;连接;连接线;零部件（原材料）;1;{};{}
WSD003;WSD008;组装;通信模块;半成品（中间产品）;1;{};{}
WSD008;TY005;组装;Wi-Fi模块;零部件（原材料）;1;{};{}
WSD008;TY006;焊接;天线;零部件（原材料）;1;{};{}
WSD001;WSD004;装配;电源模块;半成品（中间产品）;1;{};{}
WSD004;TY007;连接;电源适配器;零部件（原材料）;1;{};{}
WSD004;WSD009;组装;电池;半成品（中间产品）;1;{};{}
WSD009;TY008;组装;锂电池;零部件（原材料）;1;{};{}
WSD009;TY009;连接;电池连接器;零部件（原材料）;1;{};{}
WSD001;WSD005;装配;显示屏;半成品（中间产品）;1;{};{}
WSD005;TY010;组装;液晶显示屏;零部件（原材料）;1;{};{}
WSD005;TY011;组装;控制电路板;零部件（原材料）;1;{};{}
WSD001;WSD006;装配;外部接口;半成品（中间产品）;1;{};{}
WSD006;TY012;组装;USB端口;零部件（原材料）;1;{};{}
WSD006;TY013;组装;串口接口;零部件（原材料）;1;{};{}
null;HJ001;null;环境监控器;成品（产品）;1;{};{}
HJ001;HJ002;装配;外壳;半成品（中间产品）;1;{};{}
HJ002;CL003;焊接;铝合金外壳;零部件（原材料）;1;{};{}
HJ002;CL002;组装;螺丝;零部件（原材料）;10;{};{}
HJ001;HJ003;装配;主板;半成品（中间产品）;1;{};{}
HJ003;TY001;组装;MCU（微控制器单元）;零部件（原材料）;1;{};{}
HJ003;HJ007;组装;传感器电路板;半成品（中间产品）;1;{};{}
HJ007;TY002;组装;温度传感器;零部件（原材料）;1;{};{}
HJ007;TY003;组装;湿度传感器;零部件（原材料）;1;{};{}
HJ007;TY015;组装;气体传感器;零部件（原材料）;1;{};{}
HJ007;TY004;连接;连接线;零部件（原材料）;1;{};{}
HJ003;HJ008;组装;通信模块;半成品（中间产品）;1;{};{}
HJ008;TY016;组装;LoRa模块;零部件（原材料）;1;{};{}
HJ008;TY006;焊接;天线;零部件（原材料）;1;{};{}
HJ001;HJ004;装配;电源模块;半成品（中间产品）;1;{};{}
HJ004;TY007;连接;电源适配器;零部件（原材料）;1;{};{}
HJ004;TY017;组装;太阳能板;零部件（原材料）;1;{};{}
HJ004;HJ009;组装;电池;半成品（中间产品）;1;{};{}
HJ009;TY018;组装;锂铁电池;零部件（原材料）;1;{};{}
HJ009;TY019;组装;电池管理系统（BMS）;零部件（原材料）;1;{};{}
HJ001;HJ005;装配;显示屏;半成品（中间产品）;1;{};{}
HJ005;TY020;组装;OLED显示屏;零部件（原材料）;1;{};{}
HJ005;TY011;组装;控制电路板;零部件（原材料）;1;{};{}
HJ001;HJ006;装配;外部接口;半成品（中间产品）;1;{};{}
HJ006;TY012;组装;USB端口;零部件（原材料）;1;{};{}
HJ006;TY021;组装;以太网接口;零部件（原材料）;1;{};{}
