parent_code(父级物料编码);code(物料编码);relationship(父子级物料之间的关系);name(物料名称);type(物料类型);quantity(物料数量);relationshipProperties(关系扩展属性);properties(节点扩展属性)
null;SYS001;null;压缩机润滑油管路系统;成品（产品）;1;{};{"drawing_name":"pipeline.dwg","drawing_code":"E1A3669324","texture":"ASTM A312-TP304L","model":"3 S40S - S","unit":"个"}
SYS001;ELBOW001;装配;弯管;半成品（中间产品）;10;{};{"drawing_name":"Elbow.dwg","drawing_code":"Elbow.dwg","texture":"铜","model":"DN15","unit":"个"}
SYS001;PIPE001;装配;直管;半成品（中间产品）;20;{};{"drawing_name":"Pipe.dwg","drawing_code":"Pipe.dwg","texture":"不锈钢","model":"0.5","unit":"米"}
SYS001;FILTER001;装配;过滤器;半成品（中间产品）;1;{};{"drawing_name":"Filter.dwg","drawing_code":"Filter.dwg","texture":"塑料","model":"FL-500","unit":"个"}
FILTER001;HOUSING001;组装;过滤器外壳;半成品（中间产品）;1;{};{"drawing_name":"Housing.dwg","drawing_code":"Housing.dwg","texture":"铝合金","model":"FH-100","unit":"个"}
FILTER001;MESH001;组装;过滤网;半成品（中间产品）;5;{};{"drawing_name":"Mesh.dwg","drawing_code":"Mesh.dwg","texture":"不锈钢","model":"Mesh-50","unit":"个"}
FILTER001;DIPSTICK001;组装;油标尺;半成品（中间产品）;1;{};{"drawing_name":"Dipstick.dwg","drawing_code":"Dipstick.dwg","texture":"玻璃","model":"OC-200","unit":"个"}
FILTER001;SEAL001;组装;密封圈;半成品（中间产品）;100;{};{"drawing_name":"Seal.dwg","drawing_code":"Seal.dwg","texture":"橡胶","model":"SQ-10","unit":"个"}
SYS001;VALVE001;组装;阀门;半成品（中间产品）;1;{};{"drawing_name":"Valve.dwg","drawing_code":"Valve.dwg","texture":"铜合金","model":"VLV-300","unit":"个"}
VALVE001;HANDLE001;组装;手柄;半成品（中间产品）;1;{};{"drawing_name":"Handle.dwg","drawing_code":"Handle.dwg","texture":"塑料","model":"HB-20","unit":"个"}
VALVE001;COVER001;组装;阀盖;半成品（中间产品）;1;{};{"drawing_name":"Cover.dwg","drawing_code":"Cover.dwg","texture":"铁","model":"CV-150","unit":"个"}
VALVE001;STEM001;组装;阀杆;半成品（中间产品）;1;{};{"drawing_name":"Stem.dwg","drawing_code":"Stem.dwg","texture":"不锈钢","model":"SV-100","unit":"个"}
VALVE001;SEAT001;组装;阀座;半成品（中间产品）;1;{};{"drawing_name":"Seat.dwg","drawing_code":"Seat.dwg","texture":"铜","model":"ST-80","unit":"个"}
VALVE001;BODY001;组装;阀体;半成品（中间产品）;1;{};{"drawing_name":"Body.dwg","drawing_code":"Body.dwg","texture":"铜合金","model":"BD-500","unit":"个"}
SYS001;PUMPBODY001;组装;泵体;半成品（中间产品）;1;{};{"drawing_name":"PumpBody.dwg","drawing_code":"PumpBody.dwg","texture":"铸铁","model":"PP-600","unit":"个"}
PUMPBODY001;IMPELLER001;组装;叶轮;半成品（中间产品）;1;{};{"drawing_name":"Impeller.dwg","drawing_code":"Impeller.dwg","texture":"铝合金","model":"IM-30","unit":"个"}
PUMPBODY001;PUMPCOVER001;组装;泵盖;半成品（中间产品）;1;{};{"drawing_name":"PumpCover.dwg","drawing_code":"PumpCover.dwg","texture":"铸铁","model":"PC-70","unit":"个"}
PUMPBODY001;PUMPAXIS001;组装;泵轴;半成品（中间产品）;1;{};{"drawing_name":"PumpAxis.dwg","drawing_code":"PumpAxis.dwg","texture":"不锈钢","model":"PA-40","unit":"个"}
SYS001;BRACKET001;组装;管道支架;半成品（中间产品）;1;{};{"drawing_name":"Bracket.dwg","drawing_code":"Bracket.dwg","texture":"铝合金","model":"PS-25","unit":"个"}
BRACKET001;CLAMP001;组装;管夹;半成品（中间产品）;1;{};{"drawing_name":"Clamp.dwg","drawing_code":"Clamp.dwg","texture":"钢","model":"CC-80","unit":"个"}
BRACKET001;HOLDER001;组装;管托;半成品（中间产品）;1;{};{"drawing_name":"Holder.dwg","drawing_code":"Holder.dwg","texture":"不锈钢","model":"HT-120","unit":"个"}
SYS001;FLN001;组装;法兰;零部件（原材料）;1;{};{"drawing_name":"FLN001.dwg","drawing_code":"FLN001.dwg","texture":"不锈钢","model":"FL-200","unit":"件"}
Fittings;BOLT001;焊接;螺栓;零部件（原材料）;2;{};{"drawing_name":"BOLT001.dwg","drawing_code":"BOLT001.dwg","texture":"不锈钢","model":"BLT-12","unit":"个"}
Fittings;NUT001;焊接;螺母;零部件（原材料）;2;{};{"drawing_name":"NUT001.dwg","drawing_code":"NUT001.dwg","texture":"不锈钢","model":"NUT-12","unit":"个"}
Fittings;GASKET001;焊接;垫片;零部件（原材料）;1;{};{"drawing_name":"GASKET001.dwg","drawing_code":"GASKET001.dwg","texture":"不锈钢","model":"GS-20","unit":"个"}
FLN001;FLANGE001;焊接;法兰盘;零部件（原材料）;2;{};{"drawing_name":"FLANGE001.dwg","drawing_code":"FLANGE001.dwg","texture":"不锈钢","model":"FP-50","unit":"个"}
SYS001;JNT001;焊接;管接头;零部件（原材料）;50;{};{"drawing_name":"JNT001.dwg","drawing_code":"JNT001.dwg","texture":"不锈钢","model":"JT-35","unit":"个"}
BRACKET001;STEELBASE001;焊接;碳钢板底座;半成品（中间产品）;1;{};{"drawing_name":"STEELBASE001.dwg","drawing_code":"STEELBASE001.dwg","texture":"铁","model":"1000*2000mm","unit":"个"}
FLN001;Fittings;装配;配件包;半成品（中间产品）;1;{};{}
